day,sessions,building_load_kwh,ev_energy_kwh,pv_available_kwh,baseline_cost_eur,smart_cost_eur,cost_saving_eur,cost_saving_percent,baseline_import_kwh,smart_import_kwh,import_reduction_kwh,import_reduction_percent,baseline_export_kwh,smart_export_kwh,baseline_peak_kw,smart_peak_kw,peak_reduction_kw,peak_reduction_percent,baseline_pv_used_kwh,smart_pv_used_kwh,baseline_pv_util_percent,smart_pv_util_percent,smart_battery_throughput_kwh,smart_equivalent_cycles,scenario,ev_multiplier,pv_multiplier,battery_multiplier,price_multiplier
183,5,290.98022253212145,82.5,115.55031799999999,54.4084306437693,53.84602843870749,0.562402205061808,1.0336673901587947,260.01230453212145,260.01230453212145,0.0,0.0,0.0,0.0,15.65979928655501,15.65979928655501,0.0,0.0,115.55031799999999,115.55031799999999,100.0,100.0,19.837600000000002,0.6033333333333334,High_EV_Demand_150,1.5,1.0,1.0,1.0
23,25,242.61928612668802,432.0,148.646309,81.38591250907233,78.71970967202463,2.666202837047692,3.2760004217566308,526.3798166467863,525.972977126688,0.4068395200982877,0.07729010635133965,0.0,0.0,57.99688761294772,50.36536015916428,7.631527453783434,13.158512064843471,148.646309,148.646309,100.0,100.0,0.0,0.0,High_EV_Demand_150,1.5,1.0,1.0,1.0
153,35,266.03806252662696,694.5,400.151384,67.86264620983383,57.4096895012801,10.452956708553728,15.403108031232378,562.7059262396106,562.4690785266268,0.23684771298371743,0.0420908510003613,3.552713678800501e-15,1.4210854715202004e-14,82.98173466496429,89.09888512370463,-6.1171504587403405,-7.371683037765011,400.151384,400.151384,100.0,100.0,19.837600000000002,0.6033333333333334,High_EV_Demand_150,1.5,1.0,1.0,1.0
183,5,290.98022253212145,55.0,80.88522259999999,55.88838641235205,55.394857550616706,0.49352886173534216,0.8830615686307701,267.1773999321215,267.1773999321215,0.0,0.0,0.0,3.552713678800501e-15,15.84943498655501,15.84943498655501,0.0,0.0,80.88522259999999,80.88522259999999,100.0,100.0,19.837600000000002,0.6033333333333334,Low_PV_70,1.0,0.7,1.0,1.0
23,25,242.61928612668802,288.0,104.0524163,65.51147972965825,63.72772712085721,1.7837526088010378,2.7228092178072116,426.763314062673,426.566869826688,0.19644423598498406,0.0460311909463087,0.0,0.0,40.87084835532661,35.80124340202144,5.069604953305166,12.40396311138586,104.0524163,104.0524163,100.0,100.0,0.0,0.0,Low_PV_70,1.0,0.7,1.0,1.0
153,35,266.03806252662696,463.0,280.1059688,55.0624484149572,47.83834008498917,7.224108329968033,13.11984580766603,451.014493726627,451.01449372662705,-5.684341886080802e-14,-1.2603457239505582e-14,0.0,1.0658141036401503e-14,55.068250833414375,65.60334873995893,-10.535097906544557,-19.13098336537695,280.1059688,280.1059688,100.0,100.0,19.837600000000002,0.6033333333333334,Low_PV_70,1.0,0.7,1.0,1.0
183,5,290.98022253212145,55.0,150.21541340000002,44.86974677476091,44.278630368432964,0.5911164063279486,1.3174052648330292,200.48700579054437,197.84720913212146,2.6397966584229096,1.3166921457148177,2.6397966584229096,0.0,15.47016358655501,15.47016358655501,0.0,0.0,150.21541340000002,150.21541340000002,100.0,100.0,19.837600000000002,0.6033333333333334,High_PV_130,1.0,1.3,1.0,1.0
23,25,242.61928612668802,288.0,193.2402017,52.44341837079019,50.165543651763485,2.2778747190267055,4.343490164812427,339.461484426688,337.379084426688,2.082400000000007,0.6134422005244409,0.0,0.0,26.275049482793786,23.786619773449992,2.4884297093437944,9.470694664051317,193.2402017,193.2402017,100.0,100.0,0.0,0.0,High_PV_130,1.0,1.3,1.0,1.0
153,35,266.03806252662696,463.0,520.1967992,30.817699621438457,26.12527427934446,4.692425342093998,15.226397167002345,228.0027696334388,210.92366332662692,17.079106306811866,7.490745105539741,15.603674208046403,1.4210854715202004e-14,28.011099033414375,19.82412216370463,8.186976869709746,29.227617452437407,520.1967992,520.1967992,100.0,100.0,19.8376,0.6033333333333333,High_PV_130,1.0,1.3,1.0,1.0
183,5,290.98022253212145,55.0,115.55031799999999,48.70405622879489,48.236626629135806,0.46742959965908426,0.9597344366211736,234.59470453212145,234.59470453212145,0.0,0.0,0.0,0.0,14.459466954774765,14.459466954774765,0.0,0.0,115.55031799999999,115.55031799999999,100.0,100.0,39.6752,0.6033333333333333,Large_Battery_2x,1.0,1.0,2.0,1.0
23,25,242.61928612668802,288.0,148.646309,58.87400022576809,56.94663538631034,1.927364839457752,3.27371137015789,382.48360803885123,381.972977126688,0.510630912163208,0.13350399897695486,0.0,0.0,33.90588935084135,29.793931587735713,4.111957763105636,12.12756203076443,148.646309,148.646309,100.0,100.0,0.0,0.0,Large_Battery_2x,1.0,1.0,2.0,1.0
153,35,266.03806252662696,463.0,400.151384,41.76687433413613,36.861201945413434,4.905672388722699,11.745366314647313,333.54989436742994,333.05147852662697,0.4984158408029771,0.14942767160763512,3.552713678800501e-15,1.4210854715202004e-14,39.7936590956404,44.990885123704636,-5.197226028064236,-13.060437632973587,400.151384,400.151384,100.0,100.0,39.675200000000004,0.6033333333333334,Large_Battery_2x,1.0,1.0,2.0,1.0
183,5,290.98022253212145,55.0,115.55031799999999,52.00200255050423,51.42467927242742,0.5773232780768112,1.1101943189901506,232.16111449054435,230.42990453212147,1.7312099584228804,0.7456933355191102,1.7312099584229088,0.0,18.149518424953893,18.149518424953893,0.0,0.0,115.55031799999999,115.55031799999999,100.0,100.0,0.0,0.0,No_Battery,1.0,1.0,0.0,1.0
23,25,242.61928612668802,288.0,148.646309,59.0271291912188,56.94663538631034,2.080493804908457,3.524639997599549,381.972977126688,381.97297712668797,5.684341886080802e-14,1.4881528868455767e-14,0.0,0.0,36.082789555326606,29.79393158773572,6.288857967590886,17.42896833945732,148.646309,148.646309,100.0,100.0,0.0,0.0,No_Battery,1.0,1.0,0.0,1.0
153,35,266.03806252662696,463.0,400.151384,43.37838264309049,37.073116390480095,6.305266252610394,14.53550332774965,333.93728430937995,328.88667852662695,5.050605782752996,1.5124414134223494,5.050605782752999,7.105427357601002e-15,47.82967493341438,40.606885123704636,7.222789809709745,15.101063972868062,400.151384,400.151384,100.0,100.0,0.0,0.0,No_Battery,1.0,1.0,0.0,1.0
183,5,290.98022253212145,55.0,115.55031799999999,85.78510879092227,84.96832238005437,0.8167864108678913,0.9521307629959236,234.59470453212145,234.59470453212148,-2.842170943040401e-14,-1.2115239125746087e-14,0.0,3.552713678800501e-15,15.65979928655501,15.65979928655501,0.0,0.0,115.55031799999999,115.55031799999999,100.0,100.0,39.675200000000004,1.2066666666666668,High_Electricity_Price_2x,1.0,1.0,1.0,2.0
23,25,242.61928612668802,288.0,148.646309,93.6618521801901,89.61441132830103,4.047440851889064,4.321333347222783,384.055377126688,384.055377126688,0.0,0.0,0.0,0.0,33.90588935084135,40.479663458147485,-6.573774107306136,-19.388295759724738,148.646309,148.646309,100.0,100.0,19.837600000000002,0.6033333333333334,High_Electricity_Price_2x,1.0,1.0,1.0,2.0
153,35,266.03806252662696,463.0,400.151384,61.659246399119894,50.25384407723963,11.405402321880267,18.497472784622072,332.9990780312349,381.3726838466379,-48.37360581540304,-14.526648572542193,0.5545674058424694,50.403605320010996,41.539674933414375,66.09950773463353,-24.55983280121916,-59.12379632384487,400.151384,400.151384,100.0,100.0,19.837600000000002,0.6033333333333334,High_Electricity_Price_2x,1.0,1.0,1.0,2.0
